path,label
resources/Mold_Patches\0\Mold-2_patch77.png,0
resources/Mold_Patches\1\Mold-12_patch83.png,1
resources/Mold_Patches\0\Mold-6_patch55.png,0
resources/Mold_Patches\1\Mold-1_patch5.png,1
resources/Mold_Patches\0\Mold-6_patch3.png,0
resources/Mold_Patches\1\Mold-13_randompatch_9.png,1
resources/Mold_Patches\0\Mold-4_patch25.png,0
resources/Mold_Patches\1\Mold-6_patch41.png,1
resources/Mold_Patches\1\Mold-15_patch3.png,1
resources/Mold_Patches\0\Mold-7_patch66.png,0
resources/Mold_Patches\1\Mold-11_randompatch_3.png,1
resources/Mold_Patches\0\Mold-7_patch95.png,0
resources/Mold_Patches\1\Mold-2_patch50.png,1
resources/Mold_Patches\0\Mold-2_patch34.png,0
resources/Mold_Patches\1\Mold-1_randompatch_7.png,1
resources/Mold_Patches\0\Mold-13_patch17.png,0
resources/Mold_Patches\0\Mold-5_patch55.png,0
resources/Mold_Patches\0\Mold-11_patch82.png,0
resources/Mold_Patches\0\Mold-11_patch64.png,0
resources/Mold_Patches\1\Mold-2_patch76.png,1
resources/Mold_Patches\0\Mold-4_patch39.png,0
resources/Mold_Patches\0\Mold-10_patch16.png,0
resources/Mold_Patches\0\Mold-7_patch9.png,0
resources/Mold_Patches\0\Mold-2_patch40.png,0
resources/Mold_Patches\0\Mold-6_patch71.png,0
resources/Mold_Patches\0\Mold-9_patch15.png,0
resources/Mold_Patches\0\Mold-4_patch41.png,0
resources/Mold_Patches\0\Mold-1_patch10.png,0
resources/Mold_Patches\1\Mold-7_patch33.png,1
resources/Mold_Patches\0\Mold-7_patch89.png,0
resources/Mold_Patches\0\Mold-7_patch10.png,0
resources/Mold_Patches\0\Mold-13_patch24.png,0
resources/Mold_Patches\1\Mold-2_patch63.png,1
resources/Mold_Patches\1\Mold-11_randompatch_8.png,1
resources/Mold_Patches\0\Mold-2_patch1.png,0
resources/Mold_Patches\0\Mold-12_patch70.png,0
resources/Mold_Patches\0\Mold-12_patch21.png,0
resources/Mold_Patches\0\Mold-2_patch42.png,0
resources/Mold_Patches\0\Mold-11_patch16.png,0
resources/Mold_Patches\0\Mold-7_patch60.png,0
resources/Mold_Patches\0\Mold-1_patch11.png,0
